id,text
1,I want to cancel my subscription
2,My payment failed yesterday
3,How do I upgrade my plan?
4,When will my invoice be ready?
5,I need help setting up my account
6,The app keeps crashing on my phone
7,Can I get a refund for last month?
8,Your customer service is excellent
9,I'm interested in the enterprise plan
10,How do I reset my password?
11,My card was charged twice
12,I love the new features you added
13,Technical support is not responding
14,I want to add more users to my team
15,Why was my account suspended?
